Location,Habitat,lat,lon,Year,Month,Day,Temperature
Moorea,Back Reef,-17.481,-149.841,2005,August,28,26.137
Moorea,Back Reef,-17.481,-149.841,2005,August,29,25.908
Moorea,Back Reef,-17.481,-149.841,2005,August,30,26.375
Moorea,Back Reef,-17.481,-149.841,2005,August,31,27.066
Moorea,Back Reef,-17.481,-149.841,2005,September,1,26.786
Moorea,Back Reef,-17.481,-149.841,2005,September,2,26.624
Moorea,Back Reef,-17.481,-149.841,2005,September,3,26.606
Moorea,Back Reef,-17.481,-149.841,2005,September,4,26.803
Moorea,Back Reef,-17.481,-149.841,2005,September,5,27.117
Moorea,Back Reef,-17.481,-149.841,2005,September,6,26.947
Moorea,Back Reef,-17.481,-149.841,2005,September,7,26.850
Moorea,Back Reef,-17.481,-149.841,2005,September,8,27.207
Moorea,Back Reef,-17.481,-149.841,2005,September,9,27.166
Moorea,Back Reef,-17.481,-149.841,2005,September,10,27.229
Moorea,Back Reef,-17.481,-149.841,2005,September,11,26.742
Moorea,Back Reef,-17.481,-149.841,2005,September,12,26.755
Moorea,Back Reef,-17.481,-149.841,2005,September,13,26.806
Moorea,Back Reef,-17.481,-149.841,2005,September,14,26.935
Moorea,Back Reef,-17.481,-149.841,2005,September,15,27.051
Moorea,Back Reef,-17.481,-149.841,2005,September,16,26.872
Moorea,Back Reef,-17.481,-149.841,2005,September,17,27.092
Moorea,Back Reef,-17.481,-149.841,2005,September,18,26.941
Moorea,Back Reef,-17.481,-149.841,2005,September,19,26.786
Moorea,Back Reef,-17.481,-149.841,2005,September,20,27.315
Moorea,Back Reef,-17.481,-149.841,2005,September,21,27.160
Moorea,Back Reef,-17.481,-149.841,2005,September,22,27.336
Moorea,Back Reef,-17.481,-149.841,2005,September,23,27.462
Moorea,Back Reef,-17.481,-149.841,2005,September,24,27.469
Moorea,Back Reef,-17.481,-149.841,2005,September,25,27.479
Moorea,Back Reef,-17.481,-149.841,2005,September,26,27.626
Moorea,Back Reef,-17.481,-149.841,2005,September,27,27.542
Moorea,Back Reef,-17.481,-149.841,2005,September,28,27.163
Moorea,Back Reef,-17.481,-149.841,2005,September,29,26.593
Moorea,Back Reef,-17.481,-149.841,2005,September,30,26.371
Moorea,Back Reef,-17.481,-149.841,2005,October,1,26.611
Moorea,Back Reef,-17.481,-149.841,2005,October,2,27.142
Moorea,Back Reef,-17.481,-149.841,2005,October,3,27.605
Moorea,Back Reef,-17.481,-149.841,2005,October,4,27.823
Moorea,Back Reef,-17.481,-149.841,2005,October,5,27.810
Moorea,Back Reef,-17.481,-149.841,2005,October,6,27.960
Moorea,Back Reef,-17.481,-149.841,2005,October,7,27.946
Moorea,Back Reef,-17.481,-149.841,2005,October,8,27.689
Moorea,Back Reef,-17.481,-149.841,2005,October,9,27.850
Moorea,Back Reef,-17.481,-149.841,2005,October,10,27.954
Moorea,Back Reef,-17.481,-149.841,2005,October,11,27.952
Moorea,Back Reef,-17.481,-149.841,2005,October,12,27.910
Moorea,Back Reef,-17.481,-149.841,2005,October,13,27.724
Moorea,Back Reef,-17.481,-149.841,2005,October,14,27.619
Moorea,Back Reef,-17.481,-149.841,2005,October,15,27.511
Moorea,Back Reef,-17.481,-149.841,2005,October,16,27.471
Moorea,Back Reef,-17.481,-149.841,2005,October,17,27.459
Moorea,Back Reef,-17.481,-149.841,2005,October,18,27.430
Moorea,Back Reef,-17.481,-149.841,2005,October,19,27.641
